"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"1995-03-28","Automóvel",1,14329.69
"1995-04-20","Motocicleta",1,3770
"1995-04-23","Caminhonete",1,21000
"1995-04-25","Motocicleta",1,3062.44
"1995-04-26","Motocicleta",1,3106
"1995-04-28","Motocicleta",1,1200
"1995-04-29","Motocicleta",1,3000
"1995-05-15","Motocicleta",1,10351.66
"1995-05-15","Automóvel",1,14496.46
"1995-05-19","Motocicleta",2,228600
"1995-05-19","Automóvel",2,38748.8
"1995-05-26","Motocicleta",1,3350
"1995-05-27","Motocicleta",1,3000
"1995-06-03","Ônibus e Microonibus",1,32990
"1995-06-06","Motocicleta",1,3337
"1995-06-06","Ônibus e Microonibus",1,32990
"1995-06-07","Automóvel",1,1200
"1995-06-12","Motocicleta",1,6450
"1995-06-21","Automóvel",1,8600
"1995-06-23","Motocicleta",1,3337
"1995-06-28","Motocicleta",2,8030
"1995-07-04","Motocicleta",1,2100
"1995-07-07","Motocicleta",1,2700
"1995-07-11","Motocicleta",1,3264
"1995-07-11","Automóvel",1,1811.88
"1995-07-13","Motocicleta",1,2800
"1995-07-14","Motocicleta",1,2850
"1995-07-17","Motocicleta",1,4000
"1995-07-21","Automóvel",1,1200
"1995-07-27","Motocicleta",1,3030.2
"1995-08-01","Motocicleta",1,3250
"1995-08-06","Automóvel",1,10730
"1995-08-31","Motocicleta",1,3200
"1995-09-04","Motocicleta",2,6387
"1995-09-11","Motocicleta",1,3337
"1995-09-12","Motocicleta",1,2700
"1995-09-16","Motocicleta",1,2600
"1995-09-19","Motocicleta",1,2300
"1995-09-28","Motocicleta",1,3000
"1995-10-06","Motocicleta",2,6000
"1995-10-09","Motocicleta",1,2200
"1995-10-11","Motocicleta",1,3045.37
"1995-10-13","Motocicleta",1,3180
"1995-10-17","Motocicleta",1,3337
"1995-10-24","Motocicleta",1,2700
"1995-10-24","Motocicleta",1,3337
"1995-11-03","Caminhonete",1,40386.48
"1995-11-04","Motocicleta",1,2900
"1995-11-11","Motocicleta",1,2900
"1995-11-13","Motocicleta",1,2600
"1995-11-18","Motocicleta",1,2800
"1995-11-21","Motocicleta",1,2600
"1995-11-22","Motocicleta",1,10080.39
"1995-12-01","Motocicleta",1,3337
"1995-12-02","Motocicleta",1,3006.54
"1995-12-04","Motocicleta",1,3000
"1995-12-05","Motocicleta",1,2637
"1995-12-05","Motocicleta",1,3050
"1995-12-05","Automóvel",1,10100
"1995-12-09","Motocicleta",1,2600
"1995-12-11","Motocicleta",2,6717
"1995-12-11","Automóvel",1,6000
"1995-12-13","Motocicleta",1,3000
"1995-12-14","Motocicleta",1,2600
"1995-12-15","Motocicleta",1,3200
"1995-12-20","Motocicleta",2,5700
"1995-12-28","Motocicleta",1,2800
"1995-12-29","Motocicleta",2,6000
"1996-01-01","Motocicleta",1,2150
"1996-01-01","Motocicleta",1,1200
"1996-01-02","Motocicleta",1,2637
"1996-01-03","Motocicleta",1,2700
"1996-01-04","Automóvel",1,13200
"1996-01-05","Motocicleta",1,2600
"1996-01-05","Caminhonete",1,17978.4
"1996-01-08","Motocicleta",4,11737
"1996-01-09","Motocicleta",2,5600
"1996-01-12","Motocicleta",1,4900
"1996-01-12","Automóvel",1,1730
"1996-01-18","Motocicleta",1,2600
"1996-01-19","Motocicleta",1,4500
"1996-01-24","Automóvel",1,20829.36
"1996-01-25","Motocicleta",1,4830
"1996-01-26","Automóvel",1,16000
"1996-01-30","Motocicleta",1,2950
"1996-01-31","Motocicleta",1,2090
"1996-01-31","Motocicleta",1,2900
"1996-02-05","Motocicleta",1,2950
"1996-02-06","Motocicleta",1,3250
"1996-02-08","Motocicleta",1,3250
